year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2022,13236,0008,0006,4000,2022-08-03 04:01:09,2022-08-05 03:34:39,47.56,47.56,4,2,1,0
2022,13284,0002,0002,2000,2022-08-02 04:04:04,2022-08-03 04:04:59,24.02,24.02,2,1,0,0
2022,13313,0010,0010,3000,2022-08-02 04:07:31,2022-08-03 04:07:45,24.0,24.0,3,2,0,0
2022,13354,0009,0001,2000,2022-07-31 11:13:00,2022-08-01 22:11:41,34.98,34.98,2,0,1,0
2022,13404,0004,0009,57000,2022-07-30 16:09:05,2022-07-31 20:40:20,28.52,28.52,9,3,5,0
2022,13418,0011,0011,6000,2022-08-01 16:29:46,2022-08-02 16:31:31,24.03,24.03,5,4,0,0
2022,13590,0010,0009,15000,2022-08-01 09:51:16,2022-08-02 15:08:46,29.29,29.29,10,4,5,0
2022,13607,0011,0011,6000,2022-08-03 08:48:11,2022-08-05 17:09:24,56.35,48.0,5,0,4,0
2022,13622,0007,0007,8000,2022-08-02 11:07:19,2022-08-03 11:11:54,24.08,24.08,6,5,0,0
2022,13623,0002,0003,6000,2022-08-03 04:09:18,2022-08-06 00:14:44,68.09,48.0,4,1,2,0
2022,13629,0005,0005,18000,2022-08-03 06:33:58,2022-08-04 06:39:22,24.09,24.09,5,4,0,0
2022,13632,0011,0011,12000,2022-07-30 17:16:32,2022-07-31 17:16:43,24.0,24.0,7,6,0,0
2022,13633,0007,0003,9000,2022-07-31 04:31:18,2022-08-02 06:56:22,50.42,48.0,6,1,4,0
2022,13638,0011,0011,2000,2022-08-04 10:05:21,2022-08-05 10:05:48,24.01,24.01,2,1,0,0
2022,13680,0003,0003,2000,2022-07-31 05:14:35,2022-08-01 05:40:37,24.43,24.43,2,1,0,0
2022,13684,0009,0010,3000,2022-07-30 16:36:22,2022-07-31 16:48:04,24.2,24.2,2,0,1,0
